ID,outcome,SUT,confidence,dsa,lsa,conf*(1-norm_dsa)
0,Fail,68,0.815028608,1.258091927,102.7598218,0.671683345
1,Pass,33,0.998055696,1.129806757,103.1519829,0.840419095
2,Fail,55,0.960673988,1.081082106,104.5014776,0.815485284
3,Pass,51,0.755298793,1.534625173,103.3617573,0.593259915
4,Pass,71,0.990637898,1.286264896,103.1940973,0.812505271
5,Fail,7,0.70934701,1.75571847,105.1315441,0.53524181
6,Fail,27,0.994080245,1.147798061,103.0008411,0.834571298
7,Fail,74,0.328620821,1.554400921,104.6477205,0.257211280
8,Fail,71,0.84037751,0.920549095,104.0376471,0.732229260471011
9,Pass,0,0.913336873,0.829453468,102.7143138,0.807430734
10,Fail,12,0.367833793,1.487285733,104.3232387,0.291354449
11,Pass,75,0.999924183,2.129384756,103.263888,0.702264969
12,Pass,81,0.997770071,1.25354743,103.9965709,0.822918571452621
13,Pass,69,0.999972343,1.493010044,105.4033835,0.791259663
14,Pass,40,0.999947309,1.638718486,102.7514323,0.770871311
15,Pass,43,0.999956727,1.444228172,102.298418,0.798066574
16,Pass,92,0.999891162,0.951812327,103.9826273,0.866845055
17,Pass,97,0.999917269,1.707431078,104.5280871,0.761243128
18,Pass,70,0.999634981,1.814627528,107.0507974,0.746047939
19,Pass,53,0.999831676,1.199885964,104.1382544,0.832119350
20,Pass,70,0.999604762,1.677809477,104.8472799,0.765144591
21,Pass,49,0.999907613,2.695018768,118.6428158,0.623186651
22,Pass,75,0.999824226,1.238039374,109.5255658,0.826780352
23,Fail,69,0.392814368,1.346925139,105.0876169,0.318848912
24,Pass,21,0.99988389,1.875805616,107.4307222,0.737682179494456
25,Pass,16,0.999947429,1.429215431,104.1988497,0.800157781
26,Pass,39,0.999996901,2.656524897,106.5492409,0.628623613
27,Pass,8,0.999933362,1.518091202,103.7675905,0.787722779
28,Pass,8,0.999456704,2.094900846,104.6400135,0.706754781
29,Fail,40,0.986970901,2.309887171,103.0029727,0.668262704
30,Pass,20,0.999944687,1.164512396,103.3071752,0.837158253
31,Pass,61,0.671581209,2.375989914,107.2711607,0.448511168
32,Pass,41,0.999703109,0.567815959,101.340315,0.920347660
33,Fail,73,0.989470243,1.974337935,106.751493,0.716369837
34,Pass,56,0.999805033,0.834278286,107.940818,0.883198099
35,Fail,44,0.668218136,1.114453316,101.9979405,0.564111537
36,Pass,58,0.999661565,1.55136323,103.4108658,0.782858905177416
37,Fail,35,0.752649426,1.181174278,103.6719601,0.628368399
38,Pass,25,0.999932408,1.31424439,103.6741987,0.816217291014651
39,Pass,37,0.998419046,1.623077035,102.5151886,0.771876328
40,Fail,31,0.900706947,1.818780661,103.0586828,0.671692986
41,Pass,24,0.999714911,1.838122487,103.2423063,0.742824002
42,Pass,49,0.999119341,2.001540899,105.0078831,0.719556173
43,Fail,30,0.981442988,2.335719585,103.6722678,0.660975559
44,Pass,56,0.999975562,1.298514247,106.0598765,0.818451491
45,Pass,22,0.999849677,1.027105093,105.8037811,0.856284963
46,Pass,41,0.998887837,1.904096842,104.0398891,0.732996691
47,Pass,58,0.999940991,1.014633656,103.9250391,0.858106533
48,Fail,46,0.511382639,1.803322434,103.7958372,0.382463474
49,Pass,17,0.579571962,1.560598612,104.9230822,0.453128406
50,Pass,4,0.991228461,1.725098252,104.0935824,0.752180130
51,Pass,6,0.998367369,1.331707954,103.8922318,0.812502423
52,Pass,9,0.803660214,2.008458138,102.5692595,0.578011236
53,Pass,57,0.999895334,1.581722021,103.5903063,0.778798349
54,Fail,64,0.413863152,2.179855347,102.9610988,0.287743561
55,Pass,32,0.717668653,1.142776847,104.1082448,0.603016153
56,Pass,71,0.996359408,1.512516856,104.4009797,0.785683746
57,Pass,52,0.965842783,1.234366894,102.3152486,0.799176089
58,Pass,42,0.999930739,1.122612238,103.4728749,0.843003690
59,Pass,69,0.999943972,2.076537609,103.738259,0.709666331
60,Fail,99,0.935986638,1.40404582,103.2655723,0.752269763895777
61,Fail,91,0.520151496,1.491528869,103.6022711,0.411693985
62,Fail,31,0.993382335,1.676540613,102.786356,0.760557862
63,Pass,65,0.990033567,1.056010008,102.9960518,0.843877761
64,Fail,62,0.49449113,1.158271909,104.3122721,0.414421624352898
65,Fail,98,0.994355202,1.780662537,103.7594549,0.746828937
66,Pass,43,0.999906301,1.136112094,101.9674994,0.841096023
